KOD;ROK;POHL;VEKKAT;KRAJ;HOSP
A101;2010;1;45-54;64;10
A101;2010;1;45-54;71;5
A101;2010;1;45-54;72;8
A101;2010;1;45-54;80;11
A101;2010;1;55-64;10;7
A101;2010;1;55-64;20;17
A101;2010;1;55-64;31;20
A101;2010;1;55-64;32;12
A101;2010;1;55-64;41;6
A101;2010;1;55-64;42;21
A101;2010;1;55-64;51;5
A101;2010;1;55-64;52;10
A101;2010;1;55-64;53;12
A101;2010;1;55-64;63;10
A101;2010;1;55-64;64;26
A101;2010;1;55-64;71;12
A101;2010;1;55-64;72;13
A101;2010;1;55-64;80;18
A101;2010;1;65-74;10;11
A101;2010;1;65-74;20;12
A101;2010;1;65-74;31;11
A101;2010;1;65-74;32;9
A101;2010;1;65-74;41;2
A101;2010;1;65-74;42;11
A101;2010;1;65-74;51;9
A101;2010;1;65-74;52;14
A101;2010;1;65-74;53;15
A101;2010;1;65-74;63;18
A101;2010;1;65-74;64;32
A101;2010;1;65-74;71;6
A101;2010;1;65-74;72;12
A101;2010;1;65-74;80;37
A101;2010;1;75+;10;14
A101;2010;1;75+;20;18
A101;2010;1;75+;31;13
A101;2010;1;75+;32;18
A101;2010;1;75+;41;7
A101;2010;1;75+;42;7
A101;2010;1;75+;51;10
A101;2010;1;75+;52;5
A101;2010;1;75+;53;11
A101;2010;1;75+;63;26
A101;2010;1;75+;64;80
A101;2010;1;75+;71;8
A101;2010;1;75+;72;21
A101;2010;1;75+;80;30
A101;2010;2;15-34;10;21
A101;2010;2;15-34;20;40
A101;2010;2;15-34;31;34
A101;2010;2;15-34;32;79
A101;2010;2;15-34;41;32
A101;2010;2;15-34;42;30
A101;2010;2;15-34;51;34
A101;2010;2;15-34;52;25
A101;2010;2;15-34;53;29
A101;2010;2;15-34;63;45
A101;2010;2;15-34;64;64
A101;2010;2;15-34;71;64
A101;2010;2;15-34;72;75
A101;2010;2;15-34;80;60
A101;2010;2;35-44;10;3
A101;2010;2;35-44;20;10
A101;2010;2;35-44;31;12
A101;2010;2;35-44;32;29
A101;2010;2;35-44;41;4
A101;2010;2;35-44;42;9
A101;2010;2;35-44;51;5
A101;2010;2;35-44;52;1
A101;2010;2;35-44;53;7
A101;2010;2;35-44;63;10
A101;2010;2;35-44;64;14
A101;2010;2;35-44;71;13
A101;2010;2;35-44;72;13
A101;2010;2;35-44;80;13
A101;2010;2;45-54;10;9
A101;2010;2;45-54;20;11
A101;2010;2;45-54;31;10
A101;2010;2;45-54;32;24
A101;2010;2;45-54;41;8
A101;2010;2;45-54;42;9
A101;2010;2;45-54;51;9
A101;2010;2;45-54;53;4
A101;2010;2;45-54;63;16
A101;2010;2;45-54;64;17
A101;2010;2;45-54;72;17
A101;2010;2;45-54;80;11
A101;2010;2;55-64;10;9
A101;2010;2;55-64;20;15
A101;2010;2;55-64;31;10
A101;2010;2;55-64;32;25
A101;2010;2;55-64;41;11
A101;2010;2;55-64;42;17
A101;2010;2;55-64;51;11
A101;2010;2;55-64;52;4
A101;2010;2;55-64;53;8
A101;2010;2;55-64;63;21
A101;2010;2;55-64;64;30
A101;2010;2;55-64;71;5
A101;2010;2;55-64;72;25
A101;2010;2;55-64;80;26
A101;2010;2;65-74;10;10
A101;2010;2;65-74;20;20
A101;2010;2;65-74;31;15
A101;2010;2;65-74;32;32
A101;2010;2;65-74;41;14
A101;2010;2;65-74;42;16
